AARON,4155
ABATE,1225
ABBEY,1685
ABBOTT,17907
ABEL,6400
ABELL,2434
ABERCROMBIE,1952
ABERNATHY,5167
ABERNETHY,1245
ABLES,1370
ABNER,1262
ABNEY,2464
ABRAHAM,6802
ABRAHAMSON,1957
ABRAM,1309
ABRAMS,9405
ABRAMSON,2433
ABREU,1895
ABSHER,1107
ABSHIRE,1285
ACEVEDO,3719
ACKER,3407
ACKERMAN,9523
ACKERSON,1071
ACKLEY,2415
ACORD,1024
ACOSTA,7376
ACREE,1409
ACTON,1734
ACUNA,1155
ADAIR,5647
ADAM,3565
ADAMO,1142
ADAMS,128041
ADAMSKI,1269
ADAMSON,5418
ADCOCK,4241
ADDINGTON,1655
ADDIS,1167
ADDISON,4332
ADELMAN,1793
ADKINS,20726
ADLER,7270
ADRIAN,1573
AGEE,3296
AGNEW,3062
AGUIAR,1423
AGUILAR,9193
AGUILERA,1812
AGUIRRE,4883
AHEARN,1861
AHERN,3242
AHLERS,1016
AHMAD,2012
AHMED,3977
AHN,1804
AHO,1406
AHRENS,3801
AIELLO,3061
AIKEN,4076
AIKENS,1107
AINSWORTH,3076
AITKEN,1644
AKER,1051
AKERS,7738
AKIN,2814
AKINS,4583
ALARCON,1227
ALBA,1149
ALBANESE,2148
ALBANO,1751
ALBERS,3478
ALBERT,10993
ALBERTS,2263
ALBERTSON,3373
ALBIN,1501
ALBRECHT,6397
ALBRIGHT,8645
ALBRITTON,2105
ALCALA,1071
ALCORN,2417
ALDEN,2153
ALDER,1134
ALDERMAN,3376
ALDERSON,2088
ALDRICH,6381
ALDRIDGE,6897
ALEMAN,1345
ALESSI,1177
ALEX,1055
ALEXANDER,54899
ALFANO,1563
ALFARO,1894
ALFONSO,1957
ALFORD,8655
ALFRED,1181
ALGER,2119
ALI,4995
ALICEA,1133
ALLAN,3861
ALLARD,3618
ALLEMAN,1491
ALLEN,139850
ALLEY,4765
ALLGOOD,1583
ALLISON,16443
ALLMAN,2662
ALLRED,5284
ALMEIDA,3042
ALMOND,2199
ALONSO,2631
ALONZO,1699
ALPERT,1652
ALSTON,6224
ALSUP,1037
ALT,2004
ALTER,1575
ALTIERI,1117
ALTMAN,6489
ALTON,1336
ALVARADO,6798
ALVAREZ,17167
ALVERSON,1121
ALVES,2888
ALVEY,1489
ALVIS,1052
AMADOR,1637
AMAN,1131
AMARAL,2404
AMATO,3996
AMAYA,1572
AMBROSE,5705
AMERSON,1241
AMES,8185
AMICK,1761
AMIN,1361
AMMERMAN,1065
AMMONS,2680
AMOROSO,1113
AMOS,6476
ANAYA,1599
ANDERS,4582
ANDERSEN,13616
ANDERSON,255947
ANDRADE,5321
ANDRE,2482
ANDRES,2535
ANDRESEN,1419
ANDREW,4041
ANDREWS,42148
ANDRUS,3028
ANGEL,4199
ANGELL,2730
ANGELO,2483
ANGLE,1813
ANGLIN,2818
ANGUS,1380
ANNIS,1629
ANSLEY,1066
ANSON,1264
ANTHONY,15023
ANTOINE,1410
ANTON,2058
ANTONELLI,1604
ANTONIO,1197
ANTONUCCI,1011
ANZALONE,1153
APODACA,1282
APONTE,1614
APPEL,3165
APPLE,2478
APPLEBY,1969
APPLEGATE,3914
APPLETON,1958
AQUINO,2542
ARAGON,2328
ARANDA,1140
ARAUJO,1654
ARBOGAST,1877
ARBUCKLE,1424
ARCE,1522
ARCENEAUX,1432
ARCHAMBAULT,1555
ARCHER,10510
ARCHIBALD,2673
ARCHIE,1254
ARCHULETA,1863
ARD,1894
ARDOIN,1086
ARELLANO,2820
ARENA,2064
ARENDS,1113
ARENS,1072
AREVALO,1128
ARGO,1253
ARIAS,3703
ARMBRUSTER,1827
ARMENTROUT,1353
ARMITAGE,1423
ARMOUR,2333
ARMS,1160
ARMSTEAD,1390
ARMSTRONG,39798
ARNDT,5115
ARNESON,1728
ARNETT,4761
ARNEY,1028
ARNOLD,43920
ARONSON,2581
ARP,1140
ARREDONDO,1112
ARRINGTON,5546
ARROWOOD,1414
ARROYO,3309
ARRUDA,1177
ARSENAULT,3304
ARTHUR,8673
ARTIS,1649
ARTZ,1066
ASBURY,2625
ASH,6509
ASHBAUGH,1018
ASHBURN,1348
ASHBY,5267
ASHCRAFT,3115
ASHE,2436
ASHER,3836
ASHFORD,2115
ASHLEY,10836
ASHMORE,1892
ASHTON,3736
ASHWORTH,3224
ASKEW,3558
ASKINS,1051
ASTON,1131
ATCHISON,2488
ATCHLEY,1932
ATHERTON,2228
ATHEY,1027
ATKINS,14988
ATKINSON,16731
ATWATER,1329
ATWELL,2733
ATWOOD,5675
AU,1335
AUBIN,1067
AUBREY,1300
AUCOIN,1735
AUER,1356
AUERBACH,1432
AUGER,1485
AUGUST,1960
AUGUSTIN,1027
AUGUSTINE,3974
AULT,2622
AUMAN,1033
AUSTIN,34244
AUTRY,2449
AVALOS,1621
AVANT,1356
AVERILL,1407
AVERY,11481
AVILA,5490
AVILES,1725
AXELROD,1233
AXTELL,1082
AYALA,5107
AYCOCK,1951
AYER,1308
AYERS,12294
AYOTTE,1173
AYRES,3900
AZEVEDO,1298
BABB,4221
BABBITT,1845
BABCOCK,8025
BABER,1636
BABIN,2056
BACA,2900
BACH,4253
BACHMAN,4906
BACHMANN,1418
BACK,2558
BACKER,1209
BACKMAN,1251
BACKUS,2357
BACON,10174
BADER,3520
BADGER,2654
BAER,6662
BAEZ,2348
BAGBY,1829
BAGGETT,4081
BAGLEY,5458
BAGWELL,3468
BAHR,2812
BAIER,1951
BAILEY,83516
BAIN,5767
BAINBRIDGE,1191
BAINES,1574
BAIR,3894
BAIRD,12452
BAKER,132672
BAKKE,1448
BAKKEN,1680
BAKKER,1170
BALCH,1590
BALDRIDGE,1895
BALDWIN,25846
BALES,4266
BALL,25890
BALLARD,18027
BALLENGER,1554
BALLENTINE,1285
BALLEW,2383
BALLINGER,2437
BALLOU,2104
BALMER,1012
BALOGH,1179
BALZER,1162
BANCROFT,1977
BANDY,2561
BANE,1750
BANNER,1610
BANNING,1141
BANNISTER,2467
BANNON,1805
BANTA,1881
BANUELOS,1314
BAPTISTE,1567
BARAJAS,2501
BARAN,2036
BARANOWSKI,1084
BARBA,1381
BARBEE,3357
BARBER,24330
BARBERA,1119
BARBIERI,1563
BARBOSA,1556
BARBOUR,5140
BARCLAY,3949
BARD,2180
BARDEN,2028
BARE,2255
BAREFOOT,1531
