NUM,NAME
84,A
45,AAB
211,AABERG
95,AABY
28,AABYE
128,AADLAND
66,AAFEDT
122,AAGAARD
114,AAGARD
65,AAGESEN
172,AAKER
58,AAKHUS
153,AAKRE
55,AAL
48,AALAND
28,AALBERG
92,AALBERS
27,AALBERTS
47,AALDERINK
49,AALDERKS
27,AALDERS
77,AALFS
54,AALGAARD
116,AALTO
320,AAMODT
70,AAMOLD
123,AAMOT
52,AAMOTH
58,AANDERUD
35,AANENSEN
112,AANENSON
92,AANERUD
39,AANES
62,AANESTAD
68,AANONSEN
31,AANONSON
42,AARDAHL
48,AARDAL
151,AARDEMA
39,AARDSMA
76,AARESTAD
96,AARHUS
32,AARNES
35,AARNESS
38,AARO
33,AAROE
4155,AARON
35,AARONIAN
336,AARONS
592,AARONSON
33,AARSETH
62,AARSTAD
60,AARSVOLD
39,AARTS
29,AARVIG
123,AAS
39,AASAND
33,AASBY
203,AASE
28,AASEBY
416,AASEN
26,AASENG
29,AASER
33,AASERUD
34,AASGAARD
83,AASHEIM
33,AASKOV
63,AASLAND
50,AASNESS
626,ABAD
140,ABADI
74,ABADIA
402,ABADIE
36,ABADILLA
44,ABADIR
71,ABADY
220,ABAIR
127,ABAJIAN
215,ABALOS
40,ABANTO
98,ABAR
35,ABARAY
64,ABARBANEL
417,ABARCA
296,ABARE
38,ABARNO
70,ABARR
45,ABAS
89,ABASCAL
42,ABASOLO
29,ABASSI
46,ABATA
31,ABATANGELO
1225,ABATE
33,ABATECOLA
77,ABATEMARCO
56,ABATI
28,ABATIELL
33,ABATIELLO
99,ABATO
40,ABAUNZA
55,ABAY
66,ABAYA
38,ABAYEV
32,ABAZA
58,ABB
81,ABBA
70,ABBADESSA
30,ABBADINI
34,ABBAGNARO
53,ABBAMONTE
27,ABBAN
641,ABBAS
230,ABBASI
46,ABBASS
66,ABBASSI
884,ABBATE
25,ABBATECOLA
29,ABBATELLO
32,ABBATEMARCO
29,ABBATICCHIO
242,ABBATIELLO
29,ABBATOY
41,ABBATTISTA
35,ABBAZIA
457,ABBE
46,ABBEN
61,ABBENANTE
74,ABBENE
30,ABBENHAUS
30,ABBERGER
32,ABBERTON
215,ABBETT
1685,ABBEY
34,ABBIATI
26,ABBIATTI
42,ABBINANTE
61,ABBINANTI
42,ABBINK
28,ABBIT
208,ABBITT
30,ABBLETT
75,ABBO
53,ABBONDANDOLO
26,ABBONDANTE
94,ABBONDANZA
69,ABBONIZIO
249,ABBOT
17907,ABBOTT
61,ABBOTTS
247,ABBOUD
69,ABBRUSCATO
281,ABBRUZZESE
58,ABBRUZZI
144,ABBS
103,ABBUHL
91,ABBY
35,ABD
60,ABDALA
26,ABDALE
30,ABDALIAN
336,ABDALLA
447,ABDALLAH
25,ABDEEN
67,ABDEL
27,ABDELAHAD
80,ABDELAZIZ
32,ABDELFATTAH
31,ABDELHAMID
43,ABDELKADER
224,ABDELLA
39,ABDELLATIF
25,ABDELMALAK
39,ABDELMALEK
31,ABDELMESSIH
121,ABDELNOUR
77,ABDELRAHMAN
29,ABDELSAYED
26,ABDENOUR
32,ABDERHALDEN
194,ABDI
36,ABDILL
48,ABDIN
29,ABDINOOR
437,ABDO
37,ABDOLLAHI
133,ABDON
106,ABDOO
41,ABDOOL
140,ABDOU
58,ABDOW
32,ABDU
269,ABDUL
31,ABDUL-KARIM
28,ABDULAZIZ
196,ABDULLA
814,ABDULLAH
43,ABDULLAHI
26,ABDULRAHMAN
47,ABDUR-RAHMAN
896,ABE
73,ABEAR
162,ABEBE
51,ABECASSIS
194,ABED
79,ABEDI
53,ABEDIN
257,ABEE
73,ABEEL
104,ABEGG
125,ABEGGLEN
6400,ABEL
132,ABELA
40,ABELAR
646,ABELE
27,ABELEIN
240,ABELES
87,ABELING
2434,ABELL
329,ABELLA
26,ABELLANA
31,ABELLARD
82,ABELLERA
38,ABELLI
107,ABELLO
128,ABELMAN
26,ABELMANN
229,ABELN
34,ABELOE
36,ABELOFF
27,ABELON
40,ABELOVE
88,ABELOW
533,ABELS
37,ABELSETH
460,ABELSON
26,ABELT
55,ABELY
57,ABEN
49,ABENANTE
276,ABEND
317,ABENDROTH
83,ABENDSCHEIN
45,ABENE
58,ABENS
514,ABER
32,ABERA
34,ABERASTURI
57,ABERBACH
1952,ABERCROMBIE
58,ABERDEEN
61,ABEREGG
144,ABERG
31,ABERGEL
630,ABERLE
40,ABERLY
103,ABERMAN
30,ABERN
28,ABERNATHA
87,ABERNATHEY
27,ABERNATHIE
5167,ABERNATHY
1245,ABERNETHY
27,ABERRA
75,ABERS
56,ABERSOLD
74,ABERSON
148,ABERT
52,ABERTS
56,ABES
29,ABESAMIS
59,ABEY
816,ABEYTA
31,ABFALL
79,ABFALTER
72,ABHOLD
26,ABHYANKAR
60,ABICHT
96,ABID
34,ABIDE
40,ABIDI
86,ABILA
43,ABILD
27,ABILDGAARD
38,ABINA
30,ABINADER
34,ABINANTI
61,ABING
92,ABINGTON
28,ABIS
26,ABITABILE
57,ABITBOL
182,ABITZ
37,ABIUSO
31,ABIVA
26,ABKARIAN
79,ABKE
27,ABKEN
26,ABKIN
68,ABLA
30,ABLAH
60,ABLAN
39,ABLARD
634,ABLE
62,ABLEIDINGER
137,ABLEMAN
211,ABLER
1370,ABLES
36,ABLESON
63,ABLETT
32,ABLEY
53,ABLIN
33,ABLING
43,ABLON
67,ABLONDI
63,ABMA
1262,ABNER
44,ABNET
2464,ABNEY
85,ABO
31,ABOAGYE
61,ABODEELY
36,ABOFF
62,ABOLAFIA
31,ABOLD
51,ABOLINS
60,ABOLT
291,ABOOD
36,ABOODY
27,ABORDO
124,ABORN
25,ABOSCH
47,ABOU
145,ABOUD
27,ABOUDI
36,ABOUJAOUDE
62,ABOULAFIA
57,ABOULHOSN
44,ABOUNADER
37,ABOUZEID
38,ABOWITZ
47,ABOYTES
304,ABPLANALP
108,ABRAHA
6802,ABRAHAM
153,ABRAHAMIAN
979,ABRAHAMS
402,ABRAHAMSEN
1957,ABRAHAMSON
69,ABRAHIM
55,ABRAHMS
25,ABRAITIS
1309,ABRAM
175,ABRAMCZYK
28,ABRAMES
33,ABRAMI
55,ABRAMIAN
238,ABRAMO
48,ABRAMOFF
184,ABRAMOV
62,ABRAMOVA
28,ABRAMOVIC
189,ABRAMOVICH
45,ABRAMOVITCH
257,ABRAMOVITZ
181,ABRAMOWICZ
844,ABRAMOWITZ
108,ABRAMOWSKI
9405,ABRAMS
51,ABRAMSKI
57,ABRAMSKY
26,ABRAMSOHN
2433,ABRAMSON
64,ABRAMYAN
95,ABRANTES
27,ABRASH
44,ABRAVANEL
56,ABREAU
76,ABRECHT
349,ABREGO
131,ABRELL
42,ABRENICA
69,ABREO
101,ABRESCH
1895,ABREU
26,ABREVAYA
54,ABREW
32,ABREY
25,ABRIAL
30,ABRIEL
73,ABRIGO
287,ABRIL
66,ABRIOLA
33,ABRO
32,ABROM
60,ABROMAITIS
32,ABROMEIT
35,ABROMITIS
42,ABROMS
30,ABROMSON
115,ABRON
32,ABRONS
65,ABRUSCATO
36,ABRUZESE
182,ABRUZZESE
83,ABRUZZI
26,ABRUZZINI
46,ABRUZZINO
326,ABRUZZO
58,ABRY
81,ABSALOM
27,ABSEY
26,ABSHAGEN
109,ABSHEAR
1107,ABSHER
60,ABSHERE
184,ABSHIER
1285,ABSHIRE
25,ABSHURE
25,ABSOLON
57,ABSON
47,ABSTEN
567,ABSTON
456,ABT
55,ABTAHI
248,ABTS
107,ABU
65,ABUAN
32,ABUBAKAR
27,ABUBAKER
56,ABUD
33,ABUEG
25,ABULENCIA
118,ABURTO
28,ABUSAMRA
25,ABUTIN
68,ABY
38,ABZUG
32,ACABBO
42,ACACIO
283,ACAMPORA
53,ACANFORA
40,ACAR
545,ACCARDI
360,ACCARDO
32,ACCARINO
25,ACCESS
223,ACCETTA
26,ACCETTOLA
50,ACCETTURA
51,ACCETTURO
51,ACCHIONE
30,ACCIAIOLI
28,ACCIANI
63,ACCIARDO
32,ACCIARI
76,ACCIAVATTI
34,ACCINELLI
145,ACCOLA
42,ACCOLLA
142,ACCOMANDO
36,ACCOMAZZO
127,ACCORDINO
73,ACCORNERO
65,ACCORSI
32,ACCORSO
31,ACCURATE
231,ACCURSO
416,ACE
53,ACEBAL
58,ACEBEDO
121,ACEBO
111,ACEDO
73,ACEE
64,ACEITUNO
28,ACELLO
33,ACER
28,ACERBI
28,ACERET
34,ACERNO
120,ACERO
163,ACERRA
42,ACERS
48,ACETI
433,ACETO
3719,ACEVEDO
653,ACEVES
35,ACEVEZ
183,ACEY
94,ACH
62,ACHA
27,ACHAR
169,ACHARYA
148,ACHATZ
32,ACHBERGER
60,ACHE
52,ACHEAMPONG
212,ACHEE
41,ACHELPOHL
103,ACHEN
575,ACHENBACH
36,ACHER
748,ACHESON
300,ACHEY
176,ACHILLE
219,ACHILLES
48,ACHILLI
33,ACHIM
90,ACHIN
27,ACHKAR
46,ACHMAN
32,ACHONG
148,ACHOR
256,ACHORD
180,ACHORN
44,ACHS
35,ACHTEMEIER
78,ACHTEN
57,ACHTENBERG
102,ACHTER
207,ACHTERBERG
114,ACHTERHOF
36,ACHTERHOFF
38,ACHTERMAN
36,ACHTERMANN
30,ACHTZEHN
33,ACHTZIGER
97,ACHUFF
32,ACHURRA
128,ACHZIGER
223,ACIERNO
47,ACIERTO
25,ACINAPURA
47,ACITELLI
96,ACITO
27,ACK
27,ACKAL
27,ACKARD
37,ACKART
62,ACKEL
27,ACKELL
59,ACKELS
68,ACKELSON
68,ACKEN
3407,ACKER
41,ACKERBERG
88,ACKERET
38,ACKERKNECHT
41,ACKERLAND
155,ACKERLEY
255,ACKERLY
9523,ACKERMAN
818,ACKERMANN
134,ACKERS
1071,ACKERSON
245,ACKERT
30,ACKEY
45,ACKISON
62,ACKISS
176,ACKLAND
63,ACKLEN
70,ACKLER
170,ACKLES
2415,ACKLEY
25,ACKLIE
538,ACKLIN
474,ACKMAN
104,ACKMANN
35,ACKNER
240,ACKROYD
52,ACKS
30,ACLIN
43,ACME
34,ACOB
107,ACOBA
182,ACOCELLA
71,ACOCK
29,ACOCKS
108,ACOFF
120,ACOMB
40,ACONE
70,ACOR
1024,ACORD
28,ACORDA
122,ACORN
97,ACORS
7376,ACOSTA
49,ACOTT
51,ACOX
58,ACQUAFREDDA
41,ACQUAH
32,ACQUARD
60,ACQUARO
39,ACQUARULO
62,ACQUAVELLA
297,ACQUAVIVA
48,ACQUILANO
77,ACQUISTA
95,ACQUISTAPACE
95,ACQUISTO
89,ACRA
243,ACRE
29,ACREA
35,ACRED
1409,ACREE
93,ACREMAN
273,ACRES
112,ACREY
212,ACRI
53,ACS
113,ACTION
76,ACTIS
26,ACTIVE
37,ACTKINSON
1734,ACTON
43,ACTOR
830,ACUFF
1155,ACUNA
33,ACUNTO
31,ACUP
28,ACUS
91,ACY
35,AD
84,ADA
293,ADACHI
5647,ADAIR
32,ADALIAN
3565,ADAM
26,ADAMA
47,ADAMAITIS
43,ADAMANY
25,ADAMAVICH
39,ADAMCEWICZ
62,ADAMCHAK
35,ADAMCHICK
36,ADAMCHIK
127,ADAMCIK
212,ADAMCZAK
857,ADAMCZYK
734,ADAME
221,ADAMEC
436,ADAMEK
349,ADAMES
88,ADAMETZ
278,ADAMI
123,ADAMIAK
96,ADAMIAN
125,ADAMIC
58,ADAMICH
101,ADAMICK
49,ADAMIEC
45,ADAMIETZ
139,ADAMIK
67,ADAMITIS
66,ADAMKIEWICZ
31,ADAMKO
1142,ADAMO
